,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
CIC,7.008935311472669,20.288421799696664,7.008935311472669,0.326,False,0.9999999999983328,False,0.8456520517084541
OPTN,3.9415693670024154,20.16741240629227,3.941569367002416,0.827,False,0.9999999999984982,False,0.5956691740401652
PMPCA,8.084714315818132,22.686593950512588,8.084714315818132,0.185,False,0.999999999887888,False,0.9076646781378022
FOXRED1,7.9890649727159655,21.68960711580388,7.989064972715965,0.17,False,0.9999999998052976,False,0.9024959531622684
ELOVL5,5.285928304126685,19.748031871372348,5.285928304126685,0.58,False,0.9999999999984982,False,0.7231212682672542
ELMO1,7.4271259084696055,20.692588124331508,7.427125908469605,0.299,False,0.9999999999974942,False,0.8708207863620872
FBXO7,8.51065182294002,23.99362928739089,8.51065182294002,0.201,False,0.999999999953231,False,0.929962823570512
NDUFA9,14.418938272741457,23.901862234344435,14.418938272741457,0.019,True,0.9651601487991486,False,1.1589332826257328
EEF2,6.301212741442043,21.258400183285687,6.301212741442043,0.373,False,0.9999999999984982,False,0.7994241425058836
STX1B,7.785650539927133,22.084563148917994,7.785650539927133,0.229,False,0.999999999974275,False,0.8912949064477329
SERAC1,6.368245157157077,17.719966036710616,6.368245157157077,0.34,False,0.9999999999984982,False,0.8040197740058541
HYOU1,7.206349291202656,19.911779358013348,7.206349291202656,0.347,False,0.9999999999984982,False,0.8577153085172606
VPS13C,5.485440700866377,19.82538995401012,5.485440700866377,0.543,False,0.9999999999984982,False,0.7392115245754385
UBTD2,13.25802533817648,25.79395755525462,13.25802533817648,0.041,True,0.9991178833800932,False,1.1224788446875238
ATXN1,6.601091005609362,17.83687738748955,6.601091005609362,0.339,False,0.9999999999984982,False,0.819615720171904
ECHS1,9.891812045537023,30.23451577964994,9.891812045537025,0.072,False,0.99998916471444,False,0.995275855731959
TFAM,11.13924223166893,25.769434427022134,11.13924223166893,0.098,False,0.99999951680571,False,1.0468556481269258
TDP2,10.366455723038797,21.991321723256362,10.366455723038795,0.102,False,0.99999964343849,False,1.0156302970802626
RGS2,3.296917755439381,12.210596216810472,3.296917755439381,0.911,False,0.9999999999984982,False,0.5181081134142016
NTRK2,21.285086225268117,38.93240902459286,21.28508622526812,0.001,True,0.1664745644599879,False,1.3280754138310926
SLMAP,5.8770970219324,20.973395864894258,5.8770970219324,0.492,False,0.9999999999984982,False,0.7691628603148857
SPG7,6.207784080128448,18.98060289401002,6.207784080128448,0.368,False,0.9999999999984982,False,0.792936602831392
GSR,5.323615581349543,19.966082871889057,5.323615581349543,0.54,False,0.9999999999984982,False,0.726206687500185
IGF1R,8.251605588493902,20.29078386460668,8.251605588493902,0.197,False,0.999999999952912,False,0.91653846132313
BAX,6.301225374422984,18.810987662071852,6.301225374422984,0.271,False,0.9999999999974942,False,0.799425013199929
GOLIM4,8.313749387368631,19.210117944446722,8.313749387368631,0.168,False,0.9999999997988944,False,0.9197969288395088
AFG3L2,6.960976082365988,20.37471287436773,6.960976082365988,0.409,False,0.9999999999984982,False,0.8426701415449693
RBM17,4.006425862887454,18.861462055907566,4.006425862887454,0.791,False,0.9999999999984982,False,0.6027571107269281
COASY,6.595436907975113,21.567119015244316,6.595436907975113,0.351,False,0.9999999999984982,False,0.8192435702292777
PSMF1,5.079955608793625,17.731430510106975,5.079955608793625,0.613,False,0.9999999999984982,False,0.7058599172169493
ADAM10,20.081475498158454,35.512769972418766,20.08147549815845,0.009,True,0.8017632573802386,False,1.3027956196864328
FAM57B,5.495317883234918,19.656854616259352,5.495317883234918,0.495,False,0.9999999999984982,False,0.739992819769839
TRAP1,7.655606923352167,19.08036768359574,7.655606923352167,0.274,False,0.9999999999974942,False,0.8839796265188371
NSF,5.8910711910186535,17.4436188766756,5.8910711910186535,0.496,False,0.9999999999984982,False,0.7701942710265631
RHOT1,9.734715277650793,22.661037266768062,9.734715277650793,0.127,False,0.9999999854610858,False,0.9883232537344856
RGL1,6.178131753309259,17.681947594580663,6.178131753309259,0.439,False,0.9999999999984982,False,0.7908571657208627
GLE1,8.545883174400757,23.18838157045434,8.545883174400757,0.191,False,0.999999999939426,False,0.931756951544612
SLC4A1AP,6.009768527872723,18.474337289451626,6.009768527872723,0.445,False,0.9999999999984982,False,0.7788577450470797
TMEM55A,7.317943256323531,21.996306063012526,7.317943256323531,0.319,False,0.9999999999982466,False,0.8643890376237895
FERMT2,7.69244672897301,20.837337911147984,7.69244672897301,0.278,False,0.9999999999974942,False,0.8860644973935716
POU4F1,6.958642635791989,20.215656699370754,6.958642635791989,0.29,False,0.9999999999974942,False,0.8425245336801397
