,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
LRPAP1,8.869566846093761,22.57465028055003,8.869566846093761,0.507,False,1.0,False,0.9479024111570205
LY96,7.139761711335467,19.514936662354557,7.139761711335467,0.687,False,1.0,False,0.8536837174933973
RB1,9.205550526699653,20.847070263855926,9.205550526699652,0.392,False,1.0,False,0.9640497660674529
EIF3K,8.070414469839989,21.450493473387723,8.070414469839989,0.598,False,1.0,False,0.9068958392254396
ITGA3,9.504111620454495,20.837835704604004,9.504111620454497,0.463,False,1.0,False,0.977911528211907
CGAS,6.628572502964232,16.499619697255753,6.628572502964232,0.793,False,1.0,False,0.8214200109332921
DDX17,7.807536891070413,19.153967102366437,7.807536891070413,0.655,False,1.0,False,0.8925140449740211
EEA1,9.998859290304665,23.282574621399135,9.998859290304663,0.325,False,1.0,False,0.9999504567816112
HLA-E,10.345253870317492,22.50897606354306,10.345253870317492,0.268,False,1.0,False,1.0147411526262275
NMRK1,12.001902052362396,22.219538338255006,12.001902052362396,0.187,False,1.0,False,1.0792500781631136
SDC3,9.464888676666817,19.9037376474721,9.464888676666815,0.401,False,1.0,False,0.9761155102814713
MIA,11.13873522239399,23.45060063691983,11.13873522239399,0.225,False,1.0,False,1.0468358805038664
KLF4,5.586485017115592,17.981857784993963,5.586485017115592,0.918,False,1.0,False,0.747138638331116
MC1R,10.58638157566483,23.4072079848371,10.58638157566483,0.296,False,1.0,False,1.024747543652896
NPC2,11.30228422600419,24.997472034541488,11.30228422600419,0.219,False,1.0,False,1.0531662245893023
SMAD3,11.49280999435382,23.55145063572502,11.49280999435382,0.206,False,1.0,False,1.0604262267596631
FOS,9.288698057092006,21.845851779723716,9.288698057092006,0.445,False,1.0,False,0.9679548457218304
STAT1,42.320335349168886,57.249280418716694,42.320335349168914,0.0,True,0.0,True,1.6265491004192971
PFDN4,7.133285756049389,19.15458418580704,7.133285756049389,0.701,False,1.0,False,0.853289622000446
HSPA1A,4.1008313438596815,18.493337018336547,4.1008313438596815,0.992,False,1.0,False,0.6128719082932704
TGFB1,11.04919040390223,21.947730636668553,11.04919040390223,0.261,False,1.0,False,1.0433304575687452
SLC5A3,5.659325425456217,20.7813654219799,5.659325425456217,0.887,False,1.0,False,0.7527646676791695
RBP7,7.004646930104428,19.547985830493644,7.004646930104428,0.785,False,1.0,False,0.8453862495187565
NSG1,5.033266163501679,17.943091239020646,5.033266163501679,0.935,False,1.0,False,0.701849896875119
FKBP4,7.085088684746353,20.56504961332962,7.085088684746353,0.7,False,1.0,False,0.8503452907239053
CST3,7.3481738601115865,21.259537467743712,7.348173860111586,0.681,False,1.0,False,0.8661794232997784
NUP50-AS1,14.271602682232157,26.567890290333708,14.271602682232157,0.098,False,0.9999999998450356,False,1.154472746553066
IRF4,7.012827348918989,18.89234583395546,7.012827348918989,0.77,False,1.0,False,0.8458931469930695
BOLA2,7.140879987921352,20.25638308319492,7.140879987921352,0.746,False,1.0,False,0.853751734234061
SDCBP,9.34452540641422,24.366954786775864,9.34452540641422,0.442,False,1.0,False,0.970557249148832
S100B,11.35250866064274,23.020387549483758,11.35250866064277,0.299,False,1.0,False,1.055091841889272
RAB27A,6.01563748513388,19.594477139812057,6.01563748513388,0.844,False,1.0,False,0.7792816568805196
BOLA2B,7.068031632373533,20.862924874005557,7.068031632373533,0.686,False,1.0,False,0.8492984844870374
TSC22D3,9.649134168423132,22.141855726678614,9.649134168423132,0.361,False,1.0,False,0.9844883451835568
SLC26A2,7.860393660773667,21.151602370198816,7.860393660773667,0.629,False,1.0,False,0.8954442967290497
C1QBP,7.729967664235204,22.201310427506087,7.729967664235204,0.564,False,1.0,False,0.8881776771947036
TTLL1,6.966364574120888,18.473730900963915,6.966364574120888,0.759,False,1.0,False,0.8430061988597752
FRZB,9.344279062452955,22.800419129508327,9.344279062452957,0.403,False,1.0,False,0.9705457999602856
STOM,9.887502926037797,20.78057619602066,9.887502926037795,0.348,False,1.0,False,0.9950866250277942
SOX4,4.643141867939391,14.997905498254,4.643141867939391,0.977,False,1.0,False,0.6668119534318351
TYR,11.695354366015977,22.033901952927295,11.695354366015977,0.156,False,0.9999999999999996,False,1.0680133853477145
SLC25A13,12.946839425940965,25.994824951748342,12.946839425940963,0.123,False,0.9999999999994442,False,1.1121637616681284
SERPINF1,6.932654490615789,18.83624727871495,6.932654490615789,0.759,False,1.0,False,0.8408995563853995
HNRNPA1,6.236760215140748,19.951314770060094,6.236760215140748,0.893,False,1.0,False,0.7949590470424617
SEC11C,4.469335032589868,18.632610874858983,4.469335032589868,0.977,False,1.0,False,0.6502429116868244
S100A6,7.10400273598637,21.69151120296965,7.10400273598637,0.759,False,1.0,False,0.8515031200317431
LGALS3BP,5.0371986928741705,20.25714404176756,5.0371986928741705,0.948,False,1.0,False,0.702189081990715
LGALS3,12.859698362065785,25.47314580776913,12.859698362065783,0.128,False,0.9999999999998136,False,1.1092307818676186
SCARB2,7.551574313051816,19.269063946711412,7.551574313051816,0.614,False,1.0,False,0.8780375005295208
SMAD4,9.209090446143932,22.284744710373616,9.209090446143932,0.403,False,1.0,False,0.9642167383697894
CCND1,16.08534411557096,28.63017781293331,16.08534411557096,0.049,True,0.9999882835288398,False,1.206430356247937
SPESP1,10.007880000309257,21.80528407968086,10.007880000309257,0.329,False,1.0,False,1.0003420892996755
ST3GAL6-AS1,5.923137652685568,17.32320793923384,5.923137652685568,0.88,False,1.0,False,0.7725518256862072
GPATCH4,7.888103409068037,20.348092059871647,7.888103409068037,0.567,False,1.0,False,0.8969725953526848
TAPBPL,8.567947583775236,19.35458159357279,8.567947583775236,0.544,False,1.0,False,0.9328768009439196
PTMA,11.96475831942925,31.50428886625707,11.96475831942925,0.178,False,1.0,False,1.0779039305634703
HLA-C,6.25643320049852,22.58258867692882,6.25643320049852,0.878,False,1.0,False,0.7963268119943347
SPINT1,11.423460152951094,24.899434124964273,11.423460152951094,0.21,False,1.0,False,1.0577976711360404
RNF213,9.585018220888799,20.51966039751221,9.5850182208888,0.374,False,1.0,False,0.981592942798217
NME1,5.426786292471178,18.356516423753988,5.426786292471178,0.929,False,1.0,False,0.7345427193447316
DDX39A,7.248901705923032,22.584602164067746,7.248901705923032,0.661,False,1.0,False,0.8602722108207057
SP100,11.569950233577913,24.11509181820145,11.569950233577911,0.221,False,1.0,False,1.0633314909025724
NEAT1,9.104441858474388,19.35872241594018,9.104441858474388,0.424,False,1.0,False,0.9592533268234642
TIMP1,12.253836593894363,27.160337734481004,12.253836593894365,0.156,False,0.9999999999999996,False,1.0882720846752922
TFAP2A,10.901106368734247,22.84258055140822,10.901106368734249,0.254,False,1.0,False,1.0374705773399455
ATP5MD,6.951994846271845,20.901719430398884,6.951994846271845,0.751,False,1.0,False,0.8421094414848378
NONO,8.129955892530973,21.4585465461505,8.129955892531001,0.669,False,1.0,False,0.9100881894215762
NGFR,5.382457829650065,16.745798691814798,5.382457829650065,0.918,False,1.0,False,0.7309806359089905
WNT7A,10.119462785555925,19.90076400017631,10.119462785555925,0.362,False,1.0,False,1.0051574576162878
STX7,11.660443563434455,24.887891894178097,11.660443563434455,0.229,False,1.0,False,1.066715071305324
PIK3IP1,15.667772139907584,26.32038840187988,15.667772139907584,0.064,False,0.9999995800105126,False,1.195007246875039
WBP2,15.240768454473141,24.875820293891024,15.24076845447314,0.074,False,0.999999958214264,False,1.1830068651087984
SAT1,12.73732564974432,27.674764210780836,12.73732564974432,0.177,False,1.0,False,1.105078252372898
SGK1,8.527851556358513,25.05945399420716,8.527851556358513,0.526,False,1.0,False,0.9308396320183948
PPIA,10.02252918163245,25.01595680679145,10.02252918163245,0.343,False,1.0,False,1.0009773294177946
PSMB8-AS1,7.199478784709214,18.940680616093232,7.199478784709214,0.725,False,1.0,False,0.8573010562759469
SLC7A5P1,11.204773736792845,20.95812215782007,11.204773736792845,0.25,False,1.0,False,1.0494030910491725
E2F1,6.9561544211894955,18.76334030051794,6.956154421189496,0.769,False,1.0,False,0.8423692144356337
TM4SF1,9.403608150216371,20.738645096856658,9.403608150216373,0.38,False,1.0,False,0.9732945237127496
VDAC2,12.423824736619594,27.34611429960296,12.423824736619594,0.192,False,1.0,False,1.094255316154511
ACSL3,8.586879910240157,19.650406158974874,8.586879910240157,0.499,False,1.0,False,0.933835389219354
MDH2,12.793373851592634,25.61213128233817,12.793373851592634,0.139,False,0.9999999999999832,False,1.1069850911484118
TMEM173,9.590750035113217,21.020810473573874,9.590750035113215,0.433,False,1.0,False,0.981852572068853
PYGB,8.273234891654965,16.487014960783654,8.273234891654965,0.517,False,1.0,False,0.9176753548847822
ISYNA1,7.066366604673988,20.361767370478674,7.066366604673988,0.743,False,1.0,False,0.8491961649778024
PROS1,6.517674650334641,20.54695270854552,6.517674650334641,0.819,False,1.0,False,0.8140926775327851
SERPINA3,7.789452342704436,19.93206361823104,7.789452342704436,0.587,False,1.0,False,0.8915069245657128
TPP1,5.506970664941491,15.736190556825477,5.506970664941491,0.922,False,1.0,False,0.7409127630460239
SERPINE2,5.567533169723248,19.19616463367754,5.567533169723248,0.911,False,1.0,False,0.7456628131124272
HLA-B,7.923987737061196,23.382801989410154,7.923987737061196,0.581,False,1.0,False,0.8989437947652001
TP53,8.293104351045969,17.986345228490677,8.293104351045969,0.54,False,1.0,False,0.918717130087292
MT2A,7.993043168803638,19.945428209140573,7.993043168803638,0.595,False,1.0,False,0.9027121585125496
STAT3,11.270932324968129,23.569211583975743,11.270932324968127,0.268,False,1.0,False,1.0519598421190297
TOP1MT,8.804422689461603,18.389443948641315,8.804422689461603,0.527,False,1.0,False,0.9447008843236248
SNHG6,8.513439379563152,19.34612860091977,8.513439379563152,0.549,False,1.0,False,0.930105047957804
JPT1,8.080361969078695,21.18009247535042,8.080361969078695,0.589,False,1.0,False,0.9074308159295912
TAPBP,5.9562127296913445,19.658179306325337,5.9562127296913445,0.903,False,1.0,False,0.7749702004436768
LRRC75A-AS1,8.906321001152207,21.08174359846123,8.906321001152207,0.428,False,1.0,False,0.9496983438961216
TIMP3,9.398162210618011,22.453119344655533,9.398162210618011,0.435,False,1.0,False,0.9730429365975898
TXNDC17,17.227902439206133,29.880264811636607,17.227902439206133,0.026,True,0.9975371261456828,False,1.236232403708487
SLC19A1,10.733918225094442,22.626087359093958,10.733918225094442,0.261,False,1.0,False,1.030758282349794
HASPIN,12.750930140304462,25.989205272489812,12.750930140304462,0.173,False,1.0,False,1.1055418663439072
SHMT2,7.025491214299564,23.58096160647756,7.025491214299564,0.766,False,1.0,False,0.8466766950115099
SET,9.425128236485449,25.597930536196714,9.425128236485447,0.361,False,1.0,False,0.9742872678453782
ST6GALNAC2,6.402412459069382,19.1647947506151,6.402412459069382,0.821,False,1.0,False,0.8063436490220725
UCN2,8.113000752893157,21.44682631532021,8.113000752893157,0.582,False,1.0,False,0.9091815162807406
TIMP2,11.31219502562351,25.523303111804353,11.31219502562351,0.204,False,1.0,False,1.0535468838840478
SSR2,13.36753532455242,26.540826414482922,13.36753532455242,0.084,False,0.9999999958599632,False,1.1260513404243642
TRIM22,9.426203369045055,22.400029153050923,9.426203369045057,0.391,False,1.0,False,0.9743368053685864
SLIRP,26.810514195907416,50.96252846249433,26.81051419590736,0.001,True,0.2087308297859352,False,1.4283051433489269
VAT1,6.809004521787955,20.136986863532798,6.809004521787955,0.738,False,1.0,False,0.8330836225888152
GSEC,7.493262990573612,18.29929072598327,7.493262990573612,0.692,False,1.0,False,0.8746709752713406
CTPS1,11.5973032427884,23.39240198357686,11.5973032427884,0.195,False,1.0,False,1.064357013111803
