,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
GRID2,3.5783673571889807,19.651479091937404,3.578367357188995,1.0,False,1.0,False,0.5536849234338398
BCL2,5.1070667511991985,18.701249871662014,5.107066751199199,1.0,False,1.0,False,0.7081715342777094
XIAP,3.636228642967154,16.266566304649473,3.636228642967154,1.0,False,1.0,False,0.5606511834764966
HECW1,43.490815912195956,60.007226416172784,43.49081591219596,0.0,True,0.0,True,1.6383975553507932
NOS3,4.869659015344013,22.15502562831921,4.869659015344013,1.0,False,1.0,False,0.6874985519868911
CCR5,2.808777484240494,16.917953533993227,2.808777484240494,1.0,False,1.0,False,0.4485173350740342
EGR2,7.093491540404727,21.10020545818952,7.093491540404727,1.0,False,1.0,False,0.8508600551381074
ATP5C1,59.024796002264196,78.14964384422615,59.0247960022642,0.0,True,0.0,True,1.771034494772466
SETX,16.569454410851733,31.368780647253743,16.569454410851733,0.0,True,0.0,True,1.2193082084641496
FGD4,3.9571815765227427,16.408925918539637,3.957181576522743,1.0,False,1.0,False,0.5973859784622971
C6orf203,3.4782900755758988,14.739794674667394,3.4782900755758988,1.0,False,1.0,False,0.5413657976117081
ACHE,4.630226903831357,17.92366624388592,4.630226903831357,1.0,False,1.0,False,0.6656022740994422
ATM,4.101144470195891,16.3515350690393,4.101144470195891,1.0,False,1.0,False,0.6129050683617961
SEMA3C,3.2726538931012357,15.590704371507968,3.272653893101221,1.0,False,1.0,False,0.51490007794341
PICALM,4.236189611044097,19.659571380762713,4.236189611044097,1.0,False,1.0,False,0.6269753908091993
ARHGAP20,3.681081458469521,16.01628801532121,3.681081458469521,1.0,False,1.0,False,0.5659754280341122
LTF,4.453040485556301,17.003317860331777,4.453040485556301,1.0,False,1.0,False,0.6486566436095005
LOXHD1,5.67519609071482,18.51588359786689,5.67519609071482,1.0,False,1.0,False,0.7539808719698525
BDNF,3.097953605225854,15.438068833823081,3.097953605225854,1.0,False,1.0,False,0.4910749095028272
CDC5L,3.771797004182716,12.128983842211653,3.7717970041827016,1.0,False,1.0,False,0.5765483112297612
CLRN2,4.310778785349356,15.733232109306357,4.310778785349356,1.0,False,1.0,False,0.6345557368953861
TNS3,7.2588026599587465,18.95600512090988,7.258802659958746,1.0,False,1.0,False,0.8608649897004533
MAOA,3.231042258877096,16.522305286468395,3.231042258877096,1.0,False,1.0,False,0.5093426382024523
PPARGC1A,3.5432744854652896,13.641282465905363,3.543274485465304,1.0,False,1.0,False,0.5494047969579369
GDI1,4.553615594281197,19.051952114512346,4.553615594281212,1.0,False,1.0,False,0.6583563656886867
GSTP1,4.076667908497598,18.25542170186867,4.076667908497598,1.0,False,1.0,False,0.6103053346110398
CSMD1,4.763456751993317,14.539797653463097,4.763456751993317,1.0,False,1.0,False,0.6779222265587705
WNT3,11.880371470529326,24.486802005947084,11.880371470529326,1.0,False,1.0,False,1.0748300201972696
FMNL1,8.373679432869494,22.564182044241306,8.373679432869494,1.0,False,1.0,False,0.9229163309043048
MEF2C,4.914161566296272,17.677876589726395,4.914161566296286,1.0,False,1.0,False,0.6914494309795232
ATXN7,11.849610665496073,26.125937645249053,11.849610665496073,1.0,False,1.0,False,1.073704081265582
PPP1R3B,8.086974860410237,21.942095528487357,8.086974860410237,1.0,False,1.0,False,0.9077860930423484
FEZF2,28.296544070082007,42.15574985310934,28.296544070082007,0.0,True,0.0,True,1.4517333972577404
SLC2A3,9.238706580521097,21.900937741989594,9.238706580521097,1.0,False,1.0,False,0.9656111742221196
SMEK1,5.274725513786507,14.922626972555122,5.274725513786507,1.0,False,1.0,False,0.7221998647375987
MEGF10,5.094721700368325,14.823033275650289,5.094721700368325,1.0,False,1.0,False,0.707120465615184
FAM171A2,2.0819108966728095,13.439735698563197,2.081910896672809,1.0,False,1.0,False,0.3184621382814333
GIGYF2,4.450676581577596,21.286460641651615,4.450676581577596,1.0,False,1.0,False,0.648426036443958
RBMS1,15.463274744851546,27.76107094213637,15.46327474485156,0.0,True,0.0,True,1.1893014723128368
BDH1,2.967441547810509,13.349122130696571,2.9674415478104947,1.0,False,1.0,False,0.4723821730475639
POU4F1,7.738171348333594,21.952738118955494,7.738171348333594,1.0,False,1.0,False,0.888638342186965
CPS1,17.33843098366839,34.18704378670151,17.33843098366839,0.0,True,0.0,True,1.239009794064889
TMSB4X,11.603804534392253,25.913766632785894,11.603804534392252,1.0,False,1.0,False,1.0646004045196455
NOS1,2.817908574178446,14.857787472573762,2.817908574178432,1.0,False,1.0,False,0.4499268985058
NTRK1,10.185144292010335,23.152867135886424,10.185144292010335,1.0,False,1.0,False,1.007967185990084
ADAMTS20,10.285784270546117,24.977740129722406,10.285784270546117,1.0,False,1.0,False,1.012237411381736
TFAM,6.379646837877601,20.20751450703142,6.379646837877601,1.0,False,1.0,False,0.8047966378737998
NQO1,146.83694328165916,175.67760424126243,146.83694328165916,0.0,True,0.0,True,2.1668353351773213
TP53,4.067865407035953,16.829994374980913,4.067865407035953,1.0,False,1.0,False,0.6093665750401388
CYCS,4.408226900778573,18.009888697395866,4.408226900778573,1.0,False,1.0,False,0.6442639404762045
ACE,14.969996638904803,24.136963304829578,14.969996638904805,0.0,True,0.0,True,1.1752217028343508
PDGFA,4.452363261788818,16.501904118747177,4.4523632617888325,1.0,False,1.0,False,0.6485905905580867
SNCB,3.8059513558992393,16.439064787735276,3.8059513558992535,1.0,False,1.0,False,0.5804632332417172
DAPL1,4.676121363195733,16.30242081328936,4.676121363195733,1.0,False,1.0,False,0.6698857742353603
DDIT4,8.067164758815437,23.090005465079344,8.067164758815437,1.0,False,1.0,False,0.9067209267971476
CIC,11.136026143809175,25.465463012564555,11.136026143809175,0.0,True,0.0,True,1.0467302418515023
