perturbation,MAP3K12_UBA1,UBA1_MAT2A,RFK_MAT2A,PPP2R1A_MAT2A,MMAB_MAT2A,MAT2A,UBA1_RFK,MAP3K12_MAT2A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RAB7A_MAT2A,control,RAB7A,UROD,MVK,HACD2,UQCRQ,UBA1_RAB7A,MMAB,RFK,RAB7A_MAT2A,HACD2_MAT2A,MAP3K12_UBA1_MAT2A,UBA1,PPP2R1A,MAP3K12,PPCDC
UBA1_RFK_MAT2A,0.031133802696716138,0.10645673762549372,0.10806293978945479,0.07721723197094264,0.111634589184216,0.16349500344848583,0.12203431147289463,0.10913478943274757,0.16992053983160021,0.051206754410799096,1.0,0.28490170324401953,-0.029908823978859297,-0.015862006655556947,-0.006305521629242525,-0.0880582337290237,-0.07062302285820858,-0.16796273471854387,-0.05741168190822248,-0.16319735129812996,-0.22085323120226455,-0.1625011610155468,-0.23272697057758968,-0.2036348055080662,-0.1584567461446998,-0.3412035175419469,-0.1694835618568319,-0.241631996330242
UBA1_RAB7A_MAT2A,0.06790547107526598,0.0965328154068293,0.1992321681626522,0.12801658725852766,0.20327155746640427,0.21541678796693192,0.18285906553249212,0.22341084511316342,0.29670989145543003,0.16796661053654602,0.28490170324401953,1.0,-0.042239417842677054,-0.023795543814112828,-0.1367452459601459,-0.1673466151728462,-0.05631227251749189,-0.26879585106607184,-0.15743084646307867,-0.15968160170348034,-0.2158221672062817,-0.24391632344600753,-0.2009398826420082,-0.29149529832456983,-0.2242399474325902,-0.4518990377095884,-0.25752402503576227,-0.32704098614202126
control,-0.019280884600511,-0.07567355493042176,-0.04313482531091572,-0.020350760779535803,0.017611720687189573,-0.01133604721641055,-0.08058232581764493,-0.02006742632543495,-0.09103288610229666,-0.12855286091430967,-0.029908823978859297,-0.042239417842677054,1.0,0.02534952638989911,0.04407933329544262,-0.04245378763037604,-0.029604369068539655,0.039561742034729425,-0.07230783488299465,-0.1267382720983426,-0.020949750607662344,-0.01998983724904728,-0.012323479723202404,-0.08614067354796716,-0.043034281101635555,-0.020772342441993576,-0.01827322050057934,-0.025501585403177332
RAB7A,-0.0004249537709256982,-0.10741656656426787,-0.17278678005431367,-0.031436543805649045,-0.11406225288838275,-0.09835363157327204,-0.11415653348011355,-0.027898297555252062,-0.1338425848178054,-0.17510675665607758,-0.015862006655556947,-0.023795543814112828,0.02534952638989911,1.0,-0.017448808739629836,0.027957190874884096,-0.05741824735294399,0.006740135168093071,-0.08137897137674614,-0.12589065115714282,0.08413927901057969,0.042753709678073744,0.001407427569975746,0.004301276392984486,-0.04519437986024863,0.05542065478225997,-0.01521695711868508,0.09530152975357112
UROD,0.0029590818918208773,-0.10311103055309132,-0.14467704691721966,-0.06315948758387273,-0.01085423286687288,-0.00687681195945406,-0.01888007821697435,-0.10411540158929854,-0.13103887741480447,-0.18041592578577817,-0.006305521629242525,-0.1367452459601459,0.04407933329544262,-0.017448808739629836,1.0,-0.07065872355927942,-0.00016929872351207484,0.06956946640537003,0.029685425072064175,-0.09872171405787894,-0.040451913643380986,-0.03957871261067008,-0.03028049168570846,0.04160630076698781,0.03810429806259777,0.031744534935745944,0.003921139426164736,0.026530213124471413
MVK,-0.08170515794756275,-0.08167870107906816,0.0290025098039296,-0.07460292870483681,-0.07194997540625057,-0.05119263811121757,-0.022001155803255408,-0.030099913563485698,-0.16438425786698746,-0.08566272334021752,-0.0880582337290237,-0.1673466151728462,-0.04245378763037604,0.027957190874884096,-0.07065872355927942,1.0,0.047375823139916076,-0.09008246808250274,0.038769216562951576,0.03438626313723827,-0.05643483118444397,0.06800209348606871,0.03806592361198891,-0.06688956939031218,0.007276128094465516,0.05319056911758984,0.05712811344268651,-0.04963041873168161
HACD2,-0.08450300269522786,-0.14101415117940733,-0.09944083056084992,-0.06125507053864117,-0.06927719680624173,-0.11558312878471413,-0.07606808359984514,-0.05398427876834838,-0.14957066980082342,-0.16080846801141718,-0.07062302285820858,-0.05631227251749189,-0.029604369068539655,-0.05741824735294399,-0.00016929872351207484,0.047375823139916076,1.0,0.058325212043024585,-0.058826037490455264,-0.051526801608141035,0.034412929290937186,0.03891432046231634,-0.013473586567446535,-0.0016648474249622823,0.03840316398871967,0.02442634618967158,0.018600599201979626,0.04640861307592353
UQCRQ,-0.13289678953373016,-0.04652677143619544,-0.022440073633930323,-0.22629746153832353,0.057159323197019926,-0.035858173911914974,-0.07977010044386935,-0.19951749775555908,-0.1801582120361919,-0.13667846099463865,-0.16796273471854387,-0.26879585106607184,0.039561742034729425,0.006740135168093071,0.06956946640537003,-0.09008246808250274,0.058325212043024585,1.0,0.1824107841129261,-0.05285595872371461,-0.10140862312724513,-0.10082706847580453,0.06217639098079025,0.02662928763054269,0.13413715791573408,0.1416691406229302,0.10761783682353646,-0.003515134774682761
UBA1_RAB7A,-0.0005108023818541682,-0.15632500072451297,-0.21168100902096418,-0.04171834440495169,-0.12238607203258202,-0.07594726469960934,-0.05109469797649912,-0.019751699947287316,-0.13288201196423968,-0.17244301552793057,-0.05741168190822248,-0.15743084646307867,-0.07230783488299465,-0.08137897137674614,0.029685425072064175,0.038769216562951576,-0.058826037490455264,0.1824107841129261,1.0,-0.06778668134873612,0.10520231322919833,0.08564194861784964,-0.0013023569561912978,-0.0026500112214146044,-0.002446332852438884,0.10812834928377735,-0.001029223787373546,0.04756696373243346
MMAB,-0.056427858222070346,0.002686203468752353,-0.12487338881813637,-0.05078227616264624,-0.26391564913526905,-0.22953545824009888,-0.07175221064732612,-0.13674885192845124,-0.03722380481795306,0.04806682514987589,-0.16319735129812996,-0.15968160170348034,-0.1267382720983426,-0.12589065115714282,-0.09872171405787894,0.03438626313723827,-0.051526801608141035,-0.05285595872371461,-0.06778668134873612,1.0,0.1361307708256448,0.1362090161361965,0.059819378753504446,0.1434872090688158,0.007764696006918552,0.11295753250398433,-0.011388193860971112,0.08884010978663885
RFK,-0.10516004119970315,-0.0729035796913176,0.006934562933895341,-0.09338374997762737,-0.15240634482344995,-0.03667381903632036,-0.08977711957814104,-0.14565056224282408,-0.23125956981075146,-0.0818066714309964,-0.22085323120226455,-0.2158221672062817,-0.020949750607662344,0.08413927901057969,-0.040451913643380986,-0.05643483118444397,0.034412929290937186,-0.10140862312724513,0.10520231322919833,0.1361307708256448,1.0,0.04961161872714525,0.13915838651447227,0.006939722659814944,0.00733913520423842,0.11694388975123496,0.07287080907757777,-0.0512591357995407
RAB7A_MAT2A,-0.1245689861602719,-0.09174957050740606,-0.03031864926734172,-0.03846925938994754,-0.0790419323668462,-0.14755081448908908,-0.1526409306415335,-0.19528416687849812,-0.20194663137656918,-0.10769706979278501,-0.1625011610155468,-0.24391632344600753,-0.01998983724904728,0.042753709678073744,-0.03957871261067008,0.06800209348606871,0.03891432046231634,-0.10082706847580453,0.08564194861784964,0.1362090161361965,0.04961161872714525,1.0,0.1335016394700901,0.02949420714192932,0.05198217046815704,0.16385253483863613,0.049741202235129546,-0.031441077859230386
