,singlePCA,multiPCA,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
XIAP,19.65432675976922,32.527565528410946,19.65431445454109,0.004,True,0.5119980270268755,False,1.2934579001631166
KIFAP3,12.361311501264964,28.12640694782175,12.361307972657984,0.051,False,0.9996110158870134,False,1.092064426679482
COX15,6.209297443976368,17.19751363096333,6.209301452136685,0.539,False,0.9999999999170446,False,0.793042744694028
ATP5H,8.538871805880063,22.14918433084557,8.53888474521969,0.238,False,0.999999987669432,False,0.9314011516461732
ATXN7,4.589509083772157,14.948675370977696,4.589506371184001,0.828,False,0.9999999999170446,False,0.661765977084228
CALB1,8.682298055541196,20.57296531485173,8.682301920883674,0.185,False,0.9999999717448992,False,0.9386348840474724
SCO2,5.071348146040663,16.428630570124312,5.071353955332967,0.677,False,0.9999999999170446,False,0.705123923204814
FAM171A2,6.869557078316063,22.48092777120047,6.869555959308855,0.425,False,0.9999999999170446,False,0.8369286656396963
SEC24B,7.121378278958389,20.367561164532844,7.121384652802163,0.408,False,0.9999999999170446,False,0.8525644442837403
NDUFS8,5.62779076657128,17.54775275239615,5.62778869969398,0.636,False,0.9999999999170446,False,0.7503377830982383
SOD1,12.463191155683432,28.62443600247974,12.463184586485312,0.052,False,0.99964969828513,False,1.095629027204753
MTA1,4.298282065957977,19.540191148762176,4.29827629113538,0.837,False,0.9999999999170446,False,0.633294328293374
PDS5B,13.146238056078715,29.949290341417395,13.146236816427944,0.075,False,0.9999770164354292,False,1.1188014513995082
ELP3,11.623465455910093,24.087464790005356,11.623479622989976,0.111,False,0.9999981076684568,False,1.0653361585918606
WDR66,8.30159764466535,20.896684868953173,8.301592957692094,0.222,False,0.9999999863229472,False,0.9191614353106304
CELF1,5.092967507621552,18.320550009471276,5.09296393420388,0.728,False,0.9999999999170446,False,0.7069706007330798
BCS1L,6.002711383620209,17.323237758781147,6.002715143277953,0.566,False,0.9999999999170446,False,0.7783477345539715
CDC42EP3,9.696914517240828,22.552137819849122,9.696920176331956,0.183,False,0.9999999717448992,False,0.9866338205744476
TRIP4,11.28529896428276,25.38621762704213,11.285286115443824,0.073,False,0.99997344886774,False,1.0525125742053865
ZNF592,8.337637985376261,19.642719914275915,8.337650397827872,0.248,False,0.9999999932332914,False,0.9210436809704976
DCTN1,12.645146244653404,25.89724261279781,12.645145102357588,0.058,False,0.9998372834199444,False,1.1019238172147574
BIN1,16.791488184155526,27.21795515800386,16.791474242599122,0.011,True,0.8524434656902269,False,1.2250888276043193
RFC3,10.036975529998927,23.648376403922953,10.03696640867011,0.145,False,0.9999998704838288,False,1.001602470672302
THAP1,9.344462989887035,23.63820905519424,9.344450442714503,0.167,False,0.9999999533939056,False,0.9705537651354336
AIFM1,4.890380127456581,18.34920601753163,4.890391010939936,0.772,False,0.9999999999170446,False,0.6893435845028978
EWSR1,13.112622091162791,29.659236231256898,13.112630622870086,0.068,False,0.9999545996130628,False,1.1176898274940172
PFN1,15.70892097019592,30.650023669350105,15.70891293622006,0.025,True,0.9838656171190496,False,1.196146132707975
SCFD1,5.368206558775626,15.607041598987621,5.368203703646231,0.631,False,0.9999999999170446,False,0.7298289873567207
ATXN10,6.947456421539215,21.514590867114464,6.947448984994111,0.331,False,0.9999999996741892,False,0.8418253664437391
DROSHA,11.415462994161203,22.600057576948586,11.415472461076147,0.088,False,0.9999900148454548,False,1.057493890683206
EXOC4,8.650109552305196,24.801058138140206,8.65010186419147,0.203,False,0.9999999772895612,False,0.9370212217764649
TUBB4A,2.6358879528586954,16.89577677309336,2.63589198368544,0.993,False,0.9999999999170446,False,0.4209276093170642
PRNP,9.328138361462294,24.5814970216411,9.328129662311738,0.153,False,0.9999998989140488,False,0.9697945742111574
DBR1,6.724712455479448,21.89809661929428,6.724720162053046,0.41,False,0.9999999999170446,False,0.8276742166142477
RPL14,9.206554811353982,23.550421374529094,9.206563851785546,0.18,False,0.9999999682455089,False,0.9640975695390774
HNRNPA2B1,5.55529736707561,18.43412159878568,5.555295628175315,0.63,False,0.9999999999170446,False,0.7447071751164921
ADARB2,14.318321298482317,28.618068789126482,14.318334449170775,0.04,True,0.9982848095331788,False,1.1558925024967444
ST6GAL1,13.712277379795637,26.727226860007647,13.712261498934168,0.025,True,0.9838656171190496,False,1.1371090868472993
EIF4G1,14.71975259669,25.552619849443374,14.71975696692391,0.012,True,0.8731070410793519,False,1.167900639567024
VPS35,11.832624311561517,28.066051561873394,11.8326175654187,0.043,True,0.9987990457044832,False,1.073080828184101
CNTNAP2,9.304086431166127,20.27105433173375,9.304086873500182,0.194,False,0.9999999717448992,False,0.9686737568048304
PVR,6.272673440332511,17.854743161198087,6.27267964424442,0.511,False,0.9999999999170446,False,0.7974531079917266
PCDH1,15.542430159753849,27.802369942503617,15.542425376710838,0.01,True,0.8277500698084983,False,1.1915187908826894
CYP46A1,9.320752370302245,23.284937985021998,9.32074009435209,0.144,False,0.9999998704838288,False,0.9694503979904682
PLD3,6.886277957084502,18.432707050950285,6.886271606071063,0.358,False,0.9999999996741892,False,0.8379841480072943
SARM1,7.299372003888919,20.715327152360544,7.299372058350684,0.285,False,0.9999999989893348,False,0.8632855007611173
OPA3,12.730128860516658,25.207792563393866,12.730118542212438,0.053,False,0.9996839200903848,False,1.1048324478004763
PFDN1,8.831662748929517,25.626085364832363,8.831659303199558,0.176,False,0.9999999633223569,False,0.9460423070343132
LRPPRC,15.250951281716567,28.63468024985741,15.250939846410176,0.006,True,0.6574086268533685,False,1.183296608111177
RAB10,15.2000628684942,27.652754500397464,15.200074279005548,0.008,True,0.7567491877388488,False,1.1818457102397335
VCP,7.234651495763217,23.661175029819958,7.234653867314989,0.323,False,0.9999999996741892,False,0.8594177576926421
SETX,5.488470163910108,18.142841938433946,5.488479826654157,0.627,False,0.9999999999170446,False,0.7394520722611768
RIMBP2,6.906091085797641,20.895931483138327,6.906091780648183,0.405,False,0.9999999999170446,False,0.8392323457429729
NDUFAF5,6.562201340959916,19.112858823444753,6.562203475633595,0.414,False,0.9999999999170446,False,0.8170496925198292
ZNF292,6.7235636571906525,27.31268796237123,6.723566466950331,0.444,False,0.9999999999170446,False,0.8275997025245411
CDH11,7.567588929471242,20.612323943032152,7.567582120011679,0.287,False,0.9999999989893348,False,0.8789571424233802
OSBPL6,6.079021974312639,19.33363933434947,6.079027718621404,0.498,False,0.9999999999170446,False,0.7838341236471285
CTSD,5.2887975182277955,20.231982090589838,5.288805364744235,0.657,False,0.9999999999170446,False,0.7233575846833945
AMFR,7.777956040702293,20.772592666895548,7.777949424937987,0.34,False,0.9999999996741892,False,0.8908651148796121
PRKAG2,10.812434796439788,23.39054938796272,10.812433912480316,0.116,False,0.9999985435456183,False,1.0339234659958454
FGD4,11.052383105795656,23.433568178139865,11.052381620356384,0.111,False,0.9999981076684568,False,1.0434558719695588
ATG5,5.678719170563255,17.35282815051744,5.678720086782505,0.578,False,0.9999999999170446,False,0.7542504621397399
GSTA4,6.270034077349891,21.131419320890586,6.270029022800145,0.475,False,0.9999999999170446,False,0.7972695511038872
RNF165,8.667436120164325,21.3848504474538,8.667431512345047,0.272,False,0.9999999979380558,False,0.9378904186666936
ATP5C1,13.98522726699602,25.734618862545403,13.985215081157437,0.037,True,0.99741206499093,False,1.1456691498524554
EIF2S1,4.32508039768814,16.85811823566712,4.325084862599539,0.84,False,0.9999999999170446,False,0.6359946331874521
BLMH,11.567749617024418,23.120823383974482,11.567752003245772,0.105,False,0.9999976430783803,False,1.0632489693715836
NDUFA2,16.44027919438045,27.15429868677205,16.440285938926593,0.024,True,0.9818356477629472,False,1.2159093667696066
NCSTN,9.91615147860216,24.14630190073143,9.916151881013633,0.153,False,0.9999998989140488,False,0.99634317003013
CYCS,10.872037298342065,24.453729238218443,10.872047345224075,0.104,False,0.9999976430783803,False,1.0363113349794777
WWOX,7.9498195376675085,21.38089189165123,7.949813855807577,0.218,False,0.9999999863229472,False,0.900356959808414
SH3RF1,6.3486717434638535,16.97774792125216,6.348670767204169,0.434,False,0.9999999999170446,False,0.8026828057806212
HSPA5,6.896800477887524,18.42964043602393,6.896797090657231,0.406,False,0.9999999999170446,False,0.8386474488823452
KIF1B,9.610897183067863,25.739571688240744,9.610890200289475,0.145,False,0.9999998704838288,False,0.9827636156777328
REEP2,10.626263962955136,24.530776131361847,10.626267131434387,0.118,False,0.9999987099480658,False,1.0263807293461318
