perturbation,MAT2A,control,UBA1,UBA1_MAT2A,RAB7A,MAP3K12,RAB7A_MAT2A,MAP3K12_MAT2A,RFK,MMAB,PPP2R1A,HACD2,MMAB_MAT2A,RFK_MAT2A,UQCRQ,MAP3K12_UBA1_MAT2A,PPP2R1A_MAT2A,PPCDC,MAP3K12_UBA1,UROD,HACD2_MAT2A,MVK,UBA1_RAB7A,PPCDC_MAT2A,UQCRQ_MAT2A,UBA1_RFK_MAT2A,UBA1_RFK,UBA1_RAB7A_MAT2A
PPP2R1A,42.15261783335404,24.2688196869571,13.628272626554747,24.487931976939763,27.179230165893614,15.240182836570625,20.697668695821335,35.920325550990356,18.545936840726995,12.538505702886198,0.0,15.075630335039989,29.721013602695336,30.42610579479549,15.652239580927585,12.504984041308205,34.799911042731935,15.792094016638202,14.176301575745356,14.659283758064646,16.92039428224308,14.57632804376965,13.865886110232111,52.40028452711766,26.593729103949215,39.27895483769373,26.90701142383307,92.93667261422524
HACD2,29.54513860052822,11.864060707236945,15.819425214717626,9.311552796728904,12.038163675328462,5.583749935871708,18.31633447047858,20.421029454319125,10.839872350803091,11.221594659046332,15.075630335039989,0.0,20.220867509586355,19.48069456634579,9.66461677172282,19.270562827730487,19.7177618011425,6.36250204349443,14.514709700948572,14.53945921673062,24.55136564600616,6.817309510533107,10.875038851821387,37.036938610750894,17.176264834756353,27.2146624029578,20.666177847869506,65.44458445060735
MMAB_MAT2A,7.117655768290376,16.334380086435658,28.324089448605264,9.934017419807617,16.967772257254012,26.40480485070151,24.762487551504876,6.800069232558656,27.011923925514168,30.980956527277954,29.721013602695336,20.220867509586355,0.0,8.437099884704082,17.326818466968746,22.949506044818236,10.951728197740522,29.111766878147534,12.337073724305412,14.424074864351383,26.02092905958216,16.459415585740032,14.050157293603661,10.612541135427932,10.032683559639395,11.149545285277952,8.977616571991291,26.559877334642522
RFK_MAT2A,10.635055031387083,19.239973901981386,23.131028069758543,9.810555443929388,20.29771865388443,22.662239644548663,12.64835410849355,7.1854740194607984,21.23767195743551,24.764269923875133,30.42610579479549,19.48069456634579,8.437099884704082,0.0,24.066372940588963,18.862140456129566,7.45880702993469,27.614273943294506,10.244563442641947,14.528095348098589,19.02526083494837,12.901701045593768,12.446898823056188,9.740826275876373,5.960527639899794,5.980378189925204,5.488012878721634,24.085875409773394
UQCRQ,28.225129366783676,9.776250340628565,24.007114255920726,14.448956297994755,12.060256967787836,13.917874667653223,28.9704405791382,21.61426959662481,18.83126374868482,23.043643094759148,15.652239580927585,9.66461677172282,17.326818466968746,24.066372940588963,0.0,23.758935510267804,24.75025946032025,10.144858669843416,17.97312617118598,13.298358360767168,30.743660088461127,13.874385829572589,15.287399957042965,39.06407805102259,22.437575352517058,34.434900209583816,27.510078854718245,67.84806656121543
MAP3K12_UBA1_MAT2A,33.646907051215805,29.125315618319405,9.128325307339537,19.08613422700836,32.39891639258809,20.875932175958894,15.231224636996501,31.539548811595466,23.009130350005364,12.292947877084998,12.504984041308205,19.270562827730487,22.949506044818236,18.862140456129566,23.758935510267804,0.0,29.089541464485364,22.50380312276701,9.064221040068958,12.953168484941216,10.43268883994574,14.54517993718133,13.147270991861888,34.15440015487843,15.959463123213595,22.736225540583575,15.655566721256662,69.39208473642287
PPP2R1A_MAT2A,9.957528942889383,14.501975007603619,32.37297569455893,9.467610556140414,11.83591743044309,20.800122726059783,19.22527714575898,5.112294002976853,18.909775157041338,33.24519378216746,34.799911042731935,19.7177618011425,10.951728197740522,7.45880702993469,24.75025946032025,29.089541464485364,0.0,26.94430352252101,13.154100502455037,15.410026659847631,26.93539858853717,12.422450567443605,15.879494671601037,12.074851680564961,8.823967870192064,11.20521115941932,10.552264659950595,23.17510076837192
PPCDC,40.27113441812912,14.138392145222099,14.299931163516192,12.796576655597164,17.20071358901248,5.792417713523037,20.101746899696536,29.6090400185401,10.307948849824129,13.584688772752486,15.792094016638202,6.36250204349443,29.111766878147534,27.614273943294506,10.144858669843416,22.50380312276701,26.94430352252101,0.0,19.68630815886354,17.366386204020785,28.17661066990587,8.532284212947275,13.603363892538653,47.49563557604614,23.579091941966283,37.86874513947703,29.677662869711185,83.24265601410502
MAP3K12_UBA1,18.796802934514062,15.81200692092051,16.129776378107806,10.110193655471903,17.131157523646152,17.327006465670138,12.0336183829005,14.661677107728451,17.727157935755258,15.449907524338471,14.176301575745356,14.514709700948572,12.337073724305412,10.244563442641947,17.97312617118598,9.064221040068958,13.154100502455037,19.68630815886354,0.0,8.737684717664308,10.179112391138062,8.877800052679504,7.2457137124278574,21.310048781874514,8.014530319044582,12.246946989783169,8.468757405568681,45.14357052669595
UROD,18.41871124276605,11.423655025203516,19.875094428859256,11.889128424176704,15.37669144305056,14.976664878124723,21.02851209890565,15.581795427746727,15.86126081398612,23.594296315684005,14.659283758064646,14.53945921673062,14.424074864351383,14.528095348098589,13.298358360767168,12.953168484941216,15.410026659847631,17.366386204020785,8.737684717664308,0.0,16.580221971394053,10.624660357013852,10.538528364437298,28.05713504863445,12.186424455331803,20.01742160024429,14.489584867289352,53.3138257933353
HACD2_MAT2A,37.796519562691,32.840231902747064,13.999752403207935,22.7545558826601,36.46895793628681,24.609222381477082,11.111665732800645,32.19960427101165,21.774139254348086,15.052958284351575,16.92039428224308,24.55136564600616,26.02092905958216,19.02526083494837,30.743660088461127,10.43268883994574,26.93539858853717,28.17661066990587,10.179112391138062,16.580221971394053,0.0,18.06620096456487,14.102030990384947,34.33913467618811,15.094224914137385,22.177623152743934,16.26069690832611,65.78299219540924
MVK,23.125096186117162,10.092914982459263,14.639188447733261,7.2703584500649185,10.553162039613426,5.15612233820184,11.25156645665379,15.161805351798307,6.977992887990013,13.51111942356016,14.57632804376965,6.817309510533107,16.459415585740032,12.901701045593768,13.874385829572589,14.54517993718133,12.422450567443605,8.532284212947275,8.877800052679504,10.624660357013852,18.06620096456487,0.0,8.765022006145784,29.690164081719388,9.93456250848459,21.200360031641935,14.957530871947029,53.952058279797484
UBA1_RAB7A,19.781605039474186,16.251635952697598,15.867958687921487,7.891373115117233,16.566201008339306,13.499608794188987,14.549564341973962,16.414138908465077,12.862999811967995,13.731754225165105,13.865886110232111,10.875038851821387,14.050157293603661,12.446898823056188,15.287399957042965,13.147270991861888,15.879494671601037,13.603363892538653,7.2457137124278574,10.538528364437298,14.102030990384947,8.765022006145784,0.0,27.577289811957144,10.309407020132085,17.609945526678814,11.318795291800313,53.30784211226916
PPCDC_MAT2A,10.42196827064646,32.731423762946974,40.69808713710745,18.990944992080074,32.34808675059452,43.15649162969231,28.0470438302238,10.379646297694137,42.16534009358821,43.88944404903441,52.40028452711766,37.036938610750894,10.612541135427932,9.740826275876373,39.06407805102259,34.15440015487843,12.074851680564961,47.49563557604614,21.310048781874514,28.05713504863445,34.33913467618811,29.690164081719388,27.577289811957144,0.0,12.024105267512937,7.208876044139117,10.065215507110395,12.026199892918783
UQCRQ_MAT2A,12.03359594862701,18.507317374956187,20.15888386911297,8.819326513774456,18.193107228427436,19.157523752858026,12.428369931487794,9.674293938158769,18.401797140396127,20.141789539438378,26.593729103949215,17.176264834756353,10.032683559639395,5.960527639899794,22.437575352517058,15.959463123213595,8.823967870192064,23.579091941966283,8.014530319044582,12.186424455331803,15.094224914137385,9.93456250848459,10.309407020132085,12.024105267512937,0.0,8.27497885087729,6.8902929898246725,30.996386850267697
UBA1_RFK_MAT2A,13.327653641438246,28.638073614577877,29.185017810281067,13.245400990117332,28.756088763926073,32.54505958337245,17.767363119764354,11.263884271425582,32.088583137713954,30.421535821615578,39.27895483769373,27.2146624029578,11.149545285277952,5.980378189925204,34.434900209583816,22.736225540583575,11.20521115941932,37.86874513947703,12.246946989783169,20.01742160024429,22.177623152743934,21.200360031641935,17.609945526678814,7.208876044139117,8.27497885087729,0.0,4.862726701127144,20.236693504539062
UBA1_RFK,11.026315390573927,23.6854413394571,21.20195359223527,11.04110049543499,24.893982894070177,25.779045647998487,14.301932005274693,9.763385096172783,24.21398543176508,22.842949206970673,26.90701142383307,20.666177847869506,8.977616571991291,5.488012878721634,27.510078854718245,15.655566721256662,10.552264659950595,29.677662869711185,8.468757405568681,14.489584867289352,16.26069690832611,14.957530871947029,11.318795291800313,10.065215507110395,6.8902929898246725,4.862726701127144,0.0,29.35856601008868
UBA1_RAB7A_MAT2A,18.98279292704717,50.9102577383789,81.44601727909372,38.79471942714929,46.99377658580778,72.45620512582803,56.09584562784352,19.702356714015195,66.52624848642444,83.05679717489858,92.93667261422519,65.44458445060735,26.559877334642522,24.085875409773394,67.84806656121549,69.39208473642287,23.17510076837192,83.24265601410497,45.14357052669601,53.3138257933353,65.78299219540924,53.95205827979743,53.30784211226916,12.026199892918783,30.996386850267697,20.236693504539062,29.35856601008868,0.0
