,ES.sg22.LCP2,ES.sg8.CD3D,ES.sg11.CD5,ES.sg15.DGKA,ES.sg18.HAVCR2,ES.sg17.DGKZ,ES.sg13.CDKN1B,ES.sg9.CD3D,ES.sg0.ARID1A,ES.sg38.TNFRSF9,ES.sg43.NonTarget.CTRL108,ES.sg3.BTLA,ES.sg24.MEF2D,ES.sg20.LAG3,ES.sg35.TCEB2,ES.sg29.RASA2,ES.sg27.PDCD1,ES.sg12.CDKN1B,ES.sg6.CBLB,ES.sg19.HAVCR2,ES.sg45.NonTarget.CTRL232,ES.sg14.DGKA,ES.sg37.TMEM222,ES.sg42.NonTarget.CTRL125,ES.sg23.LCP2,ES.sg47.NonTarget.CTRL241,ES.sg21.LAG3,ES.sg46.NonTarget.CTRL214,ES.sg5.C10orf54,control,ES.sg36.TMEM222,ES.sg7.CBLB,ES.sg30.SOCS1,ES.sg31.SOCS1,ES.sg2.BTLA,ES.sg10.CD5,ES.sg44.NonTarget.CTRL41,ES.sg41.NonTarget.CTRL198,ES.sg33.STAT6,ES.sg16.DGKZ,ES.sg32.STAT6,ES.sg26.PDCD1,ES.sg40.NonTarget.CTRL170,ES.sg25.MEF2D,ES.sg39.TNFRSF9,ES.sg4.C10orf54,ES.sg28.RASA2,ES.sg34.TCEB2
ES.sg24.MEF2D,1.1021031887755086,1.142918941326533,-0.02813105867346799,0.6050351084183703,0.6535688456632673,0.512428029336732,0.4812223214285716,0.4769313137755109,-0.11447311862244547,-0.1255521045918382,-0.12785921556122481,-0.11005851403061229,0.0,-0.1070947704081604,0.05149799107142883,-0.11464123086734546,-0.1251765624999983,-0.10554910714285803,-0.026150414540815348,-0.1361129783163264,-0.12953906249999925,0.2591079400510239,0.2435060267857132,0.11187946428571394,0.03409655612244933,0.0594788903061243,0.0835681441326539,0.04825420918367307,0.032759183673471526,0.19487710459183738,0.19115022321428654,0.13773880739795885,0.16613147321428556,0.024386096938776802,-0.08649426020408058,-0.09217815688775488,0.06863156887755117,0.012037468112245264,-0.004087978316327678,0.018038042091838236,-0.020284980867346647,0.004922831632654834,0.022596332908166872,0.037814827806124995,-0.026370758928571547,0.006199776785711819,-0.1075136160714294,-0.06381313775510122
ES.sg20.LAG3,1.024353220663265,1.156490848214288,0.07000491071428705,0.596542952806125,0.5000860650510202,0.44404524872448903,0.38052391581632605,0.38989697066326734,-0.07368402423469078,-0.15446144770408132,-0.1325107461734678,-0.09284598214285467,-0.1070947704081604,0.0,0.016963647959183703,0.02788223852040872,-0.10456559311224467,-0.08733501275510314,0.04504180484693876,-0.05799419642857373,-0.066054655612243,0.21173765943877854,0.20310762117346925,0.08519980867346888,0.07037471301020304,0.11598985969387954,0.03278692602040856,0.011149553571430104,0.0473435905612245,0.09945994897959132,0.09986431760204084,0.1622779017857141,0.15422994260203993,-0.07858730867346608,-0.12046610331632479,-0.08992968749999974,0.021080038265305134,-0.039639062499999156,0.007582366071428481,-0.01931817602040553,-0.07422088647959235,-0.0899271364795915,-0.06120832270407739,-0.05343357780612301,0.0068089604591854425,-0.08779862882653156,-0.08748389668367196,-0.0027084183673444784
ES.sg35.TCEB2,1.3256678571428573,1.5302336096938784,0.2005507971938787,0.9704763392857174,0.8777928890306104,0.7259926977040791,0.7912682397959188,0.609888169642856,0.1880368622448998,0.10624068877550918,0.1656804528061233,0.14297490433673588,0.05149799107142883,0.016963647959183703,0.0,0.1762046875000003,0.05262873086734743,0.06559681122448602,0.21911425382652894,0.07305637755101912,0.18051466836734598,0.5873663584183682,0.5008019451530572,0.4072503826530607,0.24948466198979347,0.29202168367346815,0.21096562499999827,0.21689700255102018,0.19063010204081543,0.27040271045918196,0.35977426658163125,0.38260816326530644,0.40256176658163056,0.03192107780612474,0.1277797831632661,0.10760213647959205,0.2132212372448965,0.20795213647959265,0.2545673150510197,0.18871833545918548,0.19153281250000198,0.18524062499999872,0.10670475127551349,0.132141996173468,0.19731890943877772,0.11069882015305943,0.1262588647959184,0.013824968112245983
ES.sg29.RASA2,1.4137333227040791,1.3645350127551001,-0.0422071747448971,0.8829589923469392,0.864588042091837,0.8467487882653018,0.7267087053571437,0.7554661352040828,-0.02184610969387535,-0.06221728316326569,-0.024560331632654808,-0.015909630102040495,-0.11464123086734546,0.02788223852040872,0.1762046875000003,0.0,0.002816071428572542,-0.12302678571428949,-0.05087340561224707,-0.15922034438775512,-0.07550424107142995,0.4806255739795908,0.4482845982142827,0.2232314732142875,0.2259251275510188,0.15303714923469514,0.2836279655612248,0.26184371811224416,0.18721900510204215,0.4092775510204074,0.342066294642855,0.3074767538265313,0.3372162946428574,0.27102560586734725,0.009920248724490932,-0.06915271045918203,0.2430570153061229,0.20053947704081487,0.18983903061224439,0.17715411352040888,0.16168890306122385,0.19636077806122287,0.26709365433673504,0.128776211734694,0.09255312500000201,0.13908147321428466,0.06204620535714156,0.08137324617347019
ES.sg27.PDCD1,1.3422604910714284,1.4465668686224493,0.03216061862245034,0.8958986607142876,0.8333917729591835,0.6863978316326502,0.6778952487244894,0.6297167410714284,-0.03606112882652823,-0.026318239795918075,-0.013920663265304611,-0.06374339923469208,-0.1251765624999983,-0.10456559311224467,0.05262873086734743,0.002816071428572542,0.0,-0.06190742984694175,0.025875637755103043,-0.07314317602040887,-0.08574269770408272,0.44331211734694165,0.39297739158163125,0.26551489158163477,0.15432885841836708,0.2015268176020406,0.18103325892857036,0.13881151147959336,0.16532898596939027,0.2903687818877554,0.28231065051020465,0.2964804846938769,0.35156533801020373,0.03950902423469671,0.002175542091837457,0.0022619579081641916,0.17347168367347088,0.13731352040816525,0.1461536989795924,0.09854221938775609,0.10315357142857273,0.09753794642857017,0.0773176977040837,0.055779942602042,0.053584980867348975,0.042833641581632165,0.04091868622449013,0.03976760204081842
ES.sg12.CDKN1B,1.3292129464285676,1.3634286989795896,-0.030115051020409567,0.8377854910714273,0.8415973533163239,0.6746471619897907,0.6226305165816317,0.6768020089285685,-0.04094148596938929,-0.0933251594387805,-0.05723695790816663,-0.029553443877551544,-0.10554910714285803,-0.08733501275510314,0.06559681122448602,-0.12302678571428949,-0.06190742984694175,0.0,-0.025889094387759215,-0.09564384566327,-0.05741836734694061,0.34904582270407936,0.3689532844387724,0.18258297193877304,0.2187688137755064,0.1509917729591823,0.2807419642857134,0.1882514668367321,0.17267050382652727,0.32994779974489674,0.3049677933673447,0.27172356505101725,0.2990865433673431,0.07882241709183724,-0.059131377551024045,-0.00883246173469665,0.14604288903061047,0.152092538265304,0.08837177933673068,0.10186967474489528,0.05465758928571063,0.020352901785711808,0.08755921556122459,0.09520583545918271,0.04831868622448887,0.05395484693876895,0.019808641581631647,0.02893568239795563
ES.sg6.CBLB,1.1082007015306097,1.1476242665816319,0.1433305165816332,0.6789201211734692,0.6253210459183673,0.6931896045918329,0.4927932716836736,0.5535757015306135,-0.04090216836734584,-0.009921779336737657,-0.016166390306123546,-0.05666256377551093,-0.026150414540815348,0.04504180484693876,0.21911425382652894,-0.05087340561224707,0.025875637755103043,-0.025889094387759215,0.0,-0.0656810905612275,-0.09219311224489779,0.32585076530612156,0.24463010204081215,0.13651603954081537,0.15624094387754894,0.05985609056122243,0.11144065688775306,0.058582971938774264,0.12902544642857272,0.3249168048469375,0.25672117346938705,0.1695910076530609,0.19583211096938768,0.1212039221938781,-0.03521393494898106,-0.03828845663265312,0.1675900191326516,0.15628029336734706,0.04869390943877505,0.04691836734693666,0.054492219387755725,0.07800940688775526,0.1324735331632656,0.045338903061223235,0.0037705038265301027,0.0314832270408143,0.0640057716836715,0.007956249999999443
ES.sg19.HAVCR2,1.2046350127551015,1.18260701530612,0.004799202806120562,0.7084388073979611,0.6891631696428551,0.6307317283163236,0.5847885204081607,0.5621740752551023,-0.0730975446428559,-0.09572184311224596,-0.07906176658163311,-0.10254856505101984,-0.1361129783163264,-0.05799419642857373,0.07305637755101912,-0.15922034438775512,-0.07314317602040887,-0.09564384566327,-0.0656810905612275,0.0,-0.11658848852040826,0.33152882653061155,0.3170628507653035,0.14955816326530424,0.13575806760204046,0.02127633928571271,0.10233903061224403,0.11703603316326472,0.03796288265306025,0.22440892857142636,0.1949695471938746,0.21120344387755097,0.20451173469387385,0.06458823341836961,-0.11623743622449112,-0.12405258290816334,0.09581808035714268,0.04463804209183486,0.038826658163262806,0.050124553571428976,0.07055465561224317,0.06224996811224415,0.09512346938775629,0.041635714285712666,0.0005813775510183916,0.0008534757653020364,-0.01442866709183832,-0.05232662627551221
ES.sg45.NonTarget.CTRL232,1.2780542410714286,1.3122699936224507,-0.019001881377551655,0.7905877232142888,0.6814980229591825,0.6840228316326513,0.5641764987244908,0.617569866071431,-0.10106425382652695,-0.11819011479591879,-0.06299566326530481,-0.12981527423469252,-0.12953906249999925,-0.066054655612243,0.18051466836734598,-0.07550424107142995,-0.08574269770408272,-0.05741836734694061,-0.09219311224489779,-0.11658848852040826,0.0,0.4159168048469386,0.30691957908163126,0.13053676658163305,0.15375542091836714,0.08358619260203959,0.15156138392856988,0.09246776147959324,0.13406492346938848,0.30467190688775503,0.2626325255102042,0.21305860969387602,0.24901377551020154,0.07116527423469599,-0.07614477040816148,-0.04164585459183634,0.14022324617346982,0.06651977040816348,0.04741619897959204,0.06666409438775567,-0.002790178571427049,0.06861294642857096,0.06880363520408395,0.041754942602040046,0.04589279336734897,0.01852270408162937,-0.03287506377551175,-0.028579272959182944
ES.sg14.DGKA,0.14298874362244973,0.20282012117347215,0.8773388711734693,-0.025146524234692436,0.04585908801020544,0.014535459183672828,-0.10116243622448806,0.004377806122450423,0.11108118622449226,0.13123188775510108,0.06510133928571626,0.15453329081632816,0.2591079400510239,0.21173765943877854,0.5873663584183682,0.4806255739795908,0.44331211734694165,0.34904582270407936,0.32585076530612156,0.33152882653061155,0.4159168048469386,0.0,-0.1151709183673475,-0.04721623086734539,0.062358673469386616,0.04352538265306194,0.03889276147959286,-0.009203985969387318,-0.011691198979589146,0.03042203443877689,-0.022887659438776353,-0.08685063775510216,-0.09453922193877418,0.20066696428571618,0.07092098214285869,0.005073022959184215,0.026134311224490503,-0.02861760204081598,-0.04925554846938596,-0.026754528061221805,-0.003383801020406807,-0.05951661352040816,0.03642563775510688,0.120959757653063,0.059255420918368884,0.05505876913265162,0.06256568877551061,0.09653335459183765
ES.sg37.TMEM222,0.12842433035714151,0.1606963329081612,0.8732463329081614,-0.0002156249999991644,-0.00921626275510512,0.015939795918363586,-0.13115341198979635,-0.0465709821428586,0.10710114795918457,0.09920184948979305,0.0847275510204053,0.07481575255101802,0.2435060267857132,0.20310762117346925,0.5008019451530572,0.4482845982142827,0.39297739158163125,0.3689532844387724,0.24463010204081215,0.3170628507653035,0.30691957908163126,-0.1151709183673475,0.0,-0.06784001913265314,-0.022677614795920675,0.027926594387754022,-0.05498883928571807,-0.09206839923469623,-0.037632174744897995,-0.011823628826531873,-0.016381760204083662,-0.14944005102040947,-0.14369269770408621,0.0758463010204089,0.05148156887754851,-0.021096077806124214,-0.01862697704081917,-0.05096014030612572,-0.07213558673469578,-0.04912519132653159,-0.09120133928571583,-0.029476339285718467,-0.027366900510203962,0.06304378188775495,-0.050060554846940164,0.0145427933673421,0.0306575255102004,0.04637675382652873
ES.sg42.NonTarget.CTRL125,0.45786964285714404,0.4627228954081648,0.5550228954081629,0.18796875000000313,0.13076029974489778,0.24334760841836456,0.033870025510204016,0.21448370535714467,-0.03598322704081269,-0.036877838010203945,-0.0520396364795932,-0.06217487244897768,0.11187946428571394,0.08519980867346888,0.4072503826530607,0.2232314732142875,0.26551489158163477,0.18258297193877304,0.13651603954081537,0.14955816326530424,0.13053676658163305,-0.04721623086734539,-0.06784001913265314,0.0,0.08658801020408191,-0.04504528061224278,0.017101785714286777,-0.08519496173469499,0.02805532525510479,0.06689668367347146,0.043679177295917526,-0.07247755102040898,-0.07732082270408114,0.10224786352041093,-0.07855280612244897,-0.10023826530612112,-0.08807697704081541,-0.08331170280612277,-0.10678246173469219,-0.09719706632652958,-0.09081227678571402,-0.07796227678571555,-0.015938775510202063,0.04002659438775602,-0.04254805484693591,-0.04232439413265432,-0.00950028698979466,0.015040816326532536
ES.sg23.LCP2,0.4058476721938753,0.43494154974489696,0.6380852997448958,0.1451936543367367,0.13478832908163163,0.13958813775509782,0.07345430484693694,-0.004317952806124126,0.15768698979591989,0.08024706632653,-0.00035848214285927327,0.07366565688775495,0.03409655612244933,0.07037471301020304,0.24948466198979347,0.2259251275510188,0.15432885841836708,0.2187688137755064,0.15624094387754894,0.13575806760204046,0.15375542091836714,0.062358673469386616,-0.022677614795920675,0.08658801020408191,0.0,-0.008815688775509756,-0.18421080994898098,-0.09867786989796024,-0.1261057079081649,-0.0263268494897968,-0.10821154336735006,-0.055840146683674874,-0.10037091836735001,0.038164955357142816,-0.012332589285716011,-0.04862898596938692,0.11434636479591909,-0.031424298469387324,0.005062755102038352,-0.010183099489797343,-0.04178112244897925,0.07500637755101991,-0.005534183673466586,-0.10645943877551112,-0.07019190051020274,-0.005468239795922258,-0.05904725765306296,0.017857908163264824
ES.sg47.NonTarget.CTRL241,0.5112362563775505,0.4222348214285727,0.5396457589285735,0.1551431760204096,0.1557253507653069,0.16084703443877402,0.10522882653061316,0.08060344387755158,0.07322088647959646,0.06758565051020504,0.0570097895408157,0.003354241071431119,0.0594788903061243,0.11598985969387954,0.29202168367346815,0.15303714923469514,0.2015268176020406,0.1509917729591823,0.05985609056122243,0.02127633928571271,0.08358619260203959,0.04352538265306194,0.027926594387754022,-0.04504528061224278,-0.008815688775509756,0.0,-0.07781597576530608,-0.08172991071428548,-0.11814993622448888,-0.036828890306123796,-0.06696202168367549,-0.05606249999999946,-0.1164010841836749,0.03534572704081995,-0.10323619260203998,-0.09170602678571171,-0.017111926020406898,-0.10600602678571214,-0.07742209821428503,-0.1018695153061202,-0.07468472576530694,-0.0054566007653065185,0.010559088010205997,-0.061002104591837636,-0.1305861288265291,-0.11983434311224705,-0.03632429846938834,-0.1004300701530596
ES.sg21.LAG3,0.35520051020407983,0.4353818877551028,0.6450443877551031,0.09928867984694101,0.028353667091835177,0.10749722576530196,0.03274464285714451,-0.052794802295917265,0.10933982780612617,0.0898108418367336,0.033156855867346735,0.0332700573979583,0.0835681441326539,0.03278692602040856,0.21096562499999827,0.2836279655612248,0.18103325892857036,0.2807419642857134,0.11144065688775306,0.10233903061224403,0.15156138392856988,0.03889276147959286,-0.05498883928571807,0.017101785714286777,-0.18421080994898098,-0.07781597576530608,0.0,-0.16790628188775614,-0.15862005739795748,-0.11490682397959162,-0.12891495535714448,-0.09630293367346887,-0.13422120535714477,-0.05687439413265061,-0.06683443877551021,-0.10765896045918133,-0.01660392219387674,-0.1238245854591824,-0.05795471938775698,-0.11178651147959151,-0.09385015943877661,-0.0010939094387740766,-0.07502822066326331,-0.13436597576530573,-0.08037656249999792,-0.08375915178571702,-0.06762879464285554,-0.05459237882652879
