,Tcrlibrary_ZAP70_2,Tcrlibrary_JUNB_3,Tcrlibrary_EGR4_2,Tcrlibrary_JUN_3,Tcrlibrary_EGR1_2,Tcrlibrary_NFKB1_3,Tcrlibrary_NFATC3_1,Tcrlibrary_NFKB1_2,Tcrlibrary_NFATC1_3,Tcrlibrary_BACH2_2,Tcrlibrary_PTPN11_2,Tcrlibrary_PTPN6_1,Tcrlibrary_NFKB2_1,Tcrlibrary_NR4A1_1,Tcrlibrary_NR4A1_2,Tcrlibrary_JUND_2,Tcrlibrary_DOK2_1,Tcrlibrary_JUND_3,Tcrlibrary_REL_2,Tcrlibrary_NFKB1_1,Tcrlibrary_BACH2_3,Tcrlibrary_FOS_1,Tcrlibrary_RELB_1,Tcrlibrary_FOS_3,Tcrlibrary_EGR2_2,Tcrlibrary_LAT_1,Tcrlibrary_JUNB_1,Tcrlibrary_NFATC1_1,Tcrlibrary_EGR1_3,Tcrlibrary_JUND_1,control,Tcrlibrary_JUN_2,Tcrlibrary_JUNB_2,Tcrlibrary_RUNX2_1,Tcrlibrary_EGR3_1,Tcrlibrary_BACH2_1,Tcrlibrary_NR4A1_3,Tcrlibrary_RUNX2_3,Tcrlibrary_NFATC1_2,Tcrlibrary_DOK2_3,Tcrlibrary_FOS_2,Tcrlibrary_RUNX2_2,Tcrlibrary_PTPN6_2,Tcrlibrary_RELA_3,Tcrlibrary_EGR1_1
Tcrlibrary_PTPN11_2,0.5512558673469385,0.3409615752551023,0.5458948022959191,0.47940038265306306,0.009024681122451028,0.05541479591836662,0.005269706632653026,-0.1162315051020375,-0.06779515306122441,-0.12406313775510291,0.0,-0.08909304846938682,-0.0773044005102026,-0.05681224489795689,-0.03230937499999875,-0.046364668367345985,-0.017195822704080044,0.014858769132652938,0.018197002551021413,-0.020906313775508778,-0.07364209183673331,-0.1314704719387727,-0.0676280612244895,0.1256257015306108,0.05705414540816456,0.012822959183676375,0.14137735969387677,0.12421355229591846,0.15621004464285626,0.20445108418367397,-0.030292028061223775,0.04601597576530558,0.17485440051020618,0.20769974489795828,0.18677863520408344,0.04451505102040976,0.14485848214285646,0.07942136479591788,0.047694419642857255,0.06848322704081866,0.11135178571428561,0.1378537308673451,0.043280070153061345,0.015414030612245,0.05425644132653318
Tcrlibrary_PTPN6_1,0.3496470025510199,0.07533396045918472,0.2897828125000004,0.16811026785714311,0.03887206632652962,-0.03859406887755412,-0.05235165816326415,-0.10034036989795503,-0.07515714285714203,-0.07215950255102221,-0.08909304846938682,0.0,-0.11111326530612153,-0.030355484693876278,-0.058993239795919195,-0.0613735331632661,-0.013942187500001424,-0.052543845663263866,-0.004680612244895244,0.03454107142857055,-0.01645408163265394,-0.13391683673469146,-0.05782755102040937,0.08078246173469417,-0.049217219387754696,-0.10316090561224556,0.080199744897957,0.10165468749999995,0.08594492984694035,0.13463284438775602,-0.07961964285714096,0.0016071109693864827,0.026842410714287723,0.041000255102041194,-0.025486479591835476,0.000184311224488809,-0.06446600765306165,-0.04053124999999902,-0.020720695153061186,-0.11880063775510052,-0.009482079081633898,0.028369866071429328,0.20287433035714209,0.007205165816326797,0.0711350765306129
Tcrlibrary_NFKB2_1,0.3266153380102015,0.1321804209183668,0.371621460459183,0.2818739158163268,0.08409196428571342,0.055235204081631295,0.1175494897959215,-0.08646422193877257,-0.04337474489796023,-0.13612085459183731,-0.0773044005102026,-0.11111326530612153,0.0,-0.023129336734690753,0.045520408163266524,-0.041275510204082266,0.06379646045918363,0.016157302295919607,0.0939611607142865,0.005951594387754611,0.026228316326530887,-0.03530318877550975,-0.07646077806122342,0.03897735969387739,-0.04933169642857038,-0.0201722576530603,0.009360267857141835,0.07040583545918366,0.051774202806122105,0.09855899234693943,-0.045687244897958834,-0.11391986607143068,0.03134043367347239,0.040067028061224974,0.008580293367348446,-0.02020829081632769,0.029994515306121627,-0.009386352040817059,-0.04263048469387698,0.004559885204082903,0.021109693877551905,-0.013350860969387313,0.15352235331632613,-0.00924993622449044,0.18354872448979798
Tcrlibrary_NR4A1_1,0.31687311862244805,0.0970178890306137,0.354451116071429,0.28682544642857266,0.11894661989795985,0.09315548469387558,0.09070727040816529,-0.05265644132652625,0.06389241071428842,-0.05034119897959144,-0.05681224489795689,-0.030355484693876278,-0.023129336734690753,0.0,-0.013362436224490182,-0.03762397959183694,-0.031473883928569535,-0.039659917091835695,0.15770019132653346,0.047095312499999764,-0.03567952806122321,0.06896084183673601,0.12183762755102201,0.02867576530612226,-0.015937978316326706,0.054441772959185286,0.036280548469386886,0.006715178571429448,-0.023843016581633236,0.022837085459185502,-0.07199196428571142,0.06312697704081671,0.10650602678571452,-0.024283003826530702,0.07084744897959183,0.06630573979591858,0.050286670918367804,0.02526830357142984,-0.022702391581631787,-0.010341709183672165,0.07346747448979585,-0.00751026785714437,-0.0013292410714278446,0.22097034438775687,0.2465315051020429
Tcrlibrary_NR4A1_2,0.34963380102040453,0.10950825892857097,0.20516648596938758,0.1432564413265318,-0.0784692602040824,-5.1020408166735365e-05,-0.12848048469387585,0.023505803571431727,0.04805465561224409,-0.022275829081635834,-0.03230937499999875,-0.058993239795919195,0.045520408163266524,-0.013362436224490182,0.0,-0.044299234693879086,-0.028964764030611434,-0.0007476721938779463,0.04386556122448937,0.15178724489795847,0.07020771683673388,0.015629336734695798,-0.01606887755102271,0.1524880102040811,0.16207895408163253,0.06288526785714232,0.12309279336734669,0.02704461096938715,0.14537860331632757,0.1181008928571412,-0.07871096938775679,0.1740595344387721,-0.001195790816327147,0.11189330357142957,-0.01572155612245041,-0.02926951530612243,0.05913954081632511,-0.04377882653061249,-0.052071396683675886,-0.05721071428571456,0.043532844387751624,0.0099410395408146,0.2827611288265288,0.2625013392857145,0.04060312499999874
Tcrlibrary_JUND_2,0.4733160076530609,0.21581859056122532,0.3707924426020419,0.26941989795918353,0.04355982142857329,0.02316243622448866,0.00047672193877801305,-0.08945261479591515,0.006039987244898626,-0.05185924744897896,-0.046364668367345985,-0.0613735331632661,-0.041275510204082266,-0.03762397959183694,-0.044299234693879086,0.0,0.010258067602039844,-0.014715465561225827,0.13190401785714378,0.020794451530612434,-0.00866007653061196,-0.022775956632649752,-0.03826479591836929,0.12982646683673416,0.05540491071428555,0.11236747448979756,0.04630312499999789,0.0976455676020418,0.05847643494898058,0.0548268494897961,-0.057881887755099726,0.10302299107142865,0.07125829081632773,0.1355786352040802,0.07685127551020265,-0.05794980867346844,0.01548424744897936,-0.016809119897958524,0.016507684948978252,-0.04532850765306051,0.06650567602040702,0.06857012117346883,0.1916370854591829,0.09040542091836912,0.0817447066326551
Tcrlibrary_DOK2_1,0.44984422831632465,0.2463389987244895,0.2996175382653039,0.202226243622448,0.12682554209183472,-0.0033249681122473618,-0.044013807397957905,0.00814748086735051,0.04263695790816158,0.006525223214282505,-0.017195822704080044,-0.013942187500001424,0.06379646045918363,-0.031473883928569535,-0.028964764030611434,0.010258067602039844,0.0,-0.04316849489795871,0.00499786352040843,0.01600704719387558,0.012443144132653572,0.1179553890306142,0.1139884247448979,0.2179953124999976,0.12817688137754857,0.12201444515306115,0.2332907206632644,0.12869253826530525,0.10564059311224483,0.12908163265305994,-0.04069116709183618,0.16413558673469097,0.21137401147959345,0.10122248086734764,0.11533574617346787,0.0168565369897955,0.07144059311224638,0.0605472257653048,-0.000726594387757018,-0.02210966198979314,0.08965577168367034,0.0620264668367323,0.10550593112244755,0.21926801658163164,0.15486667729591908
Tcrlibrary_JUND_3,0.4683503826530586,0.1534732780612238,0.21805963010203833,0.21338396045918273,0.07033325892856901,-0.03520787627551236,-0.056112340561222496,-0.04044480229591585,0.09035404974489936,0.043386065051020495,0.014858769132652938,-0.052543845663263866,0.016157302295919607,-0.039659917091835695,-0.0007476721938779463,-0.014715465561225827,-0.04316849489795871,0.0,0.1372962053571456,0.05326163903061065,-0.008533514030613532,0.1253756058673492,0.12905239158163262,0.2109124043367352,0.10198772321428606,0.1172721619897974,0.0927484374999974,0.0732658801020385,0.033306122448980346,0.06472528698979652,-0.0785928252551038,0.14176517857142557,0.17489422831632773,-0.004502614795919513,0.008162213010201924,0.04744862882652967,0.029695184948980824,0.08767681760204127,0.02859049744897746,-0.049311320153060834,0.002041613520407992,0.008232621173467791,0.1727995854591846,0.29250698341836845,0.060411894132654353
Tcrlibrary_REL_2,0.5352776785714273,0.31957401147959175,0.36908848852040954,0.34670656887755413,0.19846836734693873,0.2635991071428574,0.12089151785714414,0.013312181122454803,-0.04916084183673419,0.025780548469388265,0.018197002551021413,-0.004680612244895244,0.0939611607142865,0.15770019132653346,0.04386556122448937,0.13190401785714378,0.00499786352040843,0.1372962053571456,0.0,0.08880299744898146,0.07720471938775475,0.07076071428571673,0.04264062500000243,0.13829751275510205,0.0269228316326533,-0.01197397959183455,0.382192920918369,0.29013223852041037,0.2288381058673501,0.30895102040816447,0.007432908163266916,0.23912841198979606,0.1870230867346958,0.215165306122449,0.2281535714285745,0.22770561224490038,0.06810216836734995,0.15737755102041007,0.12491623086734904,0.017564413265310108,0.13456422193877415,0.177300542091837,0.12415500637755272,0.2260045918367357,0.3698126275510223
Tcrlibrary_NFKB1_1,0.7278899872448967,0.38255194515305924,0.5740570471938753,0.44068450255102043,0.2329275510204063,0.09243641581632289,0.10154757653061353,-0.051953635204080584,-0.06543603316326774,0.04599598214285372,-0.020906313775508778,0.03454107142857055,0.005951594387754611,0.047095312499999764,0.15178724489795847,0.020794451530612434,0.01600704719387558,0.05326163903061065,0.08880299744898146,0.0,-0.04856734693877662,0.11150427295918419,0.07589980867346924,0.24016294642857083,0.11661482780612253,0.15939770408163056,0.25503022959183497,0.23094454719387691,0.13659885204081412,0.18980395408163275,0.05334834183673287,0.13538759566326242,0.3562510204081626,0.14357761479591602,0.24904713010204027,0.1835085459183663,0.11798010204081599,0.14263673469387506,0.10684103954081614,0.05106422193877691,0.12374528061224233,0.13368160076530344,0.07217044005101947,0.14563565051020433,0.23004056122448802
